experiment,n_vehicles_offered,n_waypoints,ortools_capacity_ok,ortools_n_vehicles_used,ortools_total_cost_min,ours_capacity_ok,ours_n_vehicles_used,ours_pct_above_ortools,ours_total_cost_min,trial,vehicle_capacity
cvrp_baseline,3,7,True,4,1154.2,True,5,8.3,1250.0,0,31.5
cvrp_baseline,2,7,True,3,533.4,True,3,-0.0,533.4,1,45.0
cvrp_baseline,3,7,True,4,549.2,True,5,11.3,611.0,2,30.0
cvrp_baseline,3,7,True,4,926.3,True,5,0.5,931.0,3,48.0
cvrp_baseline,2,7,True,3,545.4,True,3,-0.0,545.4,4,51.8
cvrp_baseline,3,8,True,4,642.4,True,6,16.4,747.8,5,43.5
cvrp_baseline,2,9,True,3,622.6,True,4,15.1,716.7,6,72.0
cvrp_baseline,2,9,True,3,633.1,True,5,24.6,789.1,7,78.8
cvrp_baseline,3,7,True,4,646.1,True,7,41.8,916.4,8,40.5
cvrp_baseline,2,7,True,3,561.4,True,3,-0.0,561.4,9,60.8
cvrp_baseline,2,7,True,3,451.0,True,4,23.1,555.1,10,56.2
cvrp_baseline,3,8,True,4,1017.6,True,5,7.8,1097.0,11,39.0
cvrp_baseline,3,9,True,4,608.5,True,4,4.0,633.1,12,46.5
cvrp_baseline,3,9,True,4,704.1,True,4,2.1,718.8,13,51.0
cvrp_baseline,2,8,True,3,914.8,True,3,1.4,927.9,14,67.5
